,Substrate
11746,P09917
11753,P0DMV8
11756,P10071
11811,P11168
11833,P13224
11859,P13612
11867,P13796
11871,P13807
11889,P14410
11907,P15924
11911,P16066
11937,P17542
11947,P17655
11952,P17661
11959,P17676
11962,P17752
11988,P19544
11993,P19793
12003,P20265
12006,P20941
12021,P21817
12024,P21980
12029,P22459
12035,P23771
12051,P24390
12054,P25054
12063,P26599
12067,P26678
12071,P27448
12074,P27708
12082,P27815
12103,P30301
12108,P30518
12111,P31323
12114,P32245
12122,P33076
12139,P35236
12143,P35240
12162,P36382
12167,P36955
12176,P39019
12186,P41161
12189,P41181
12194,P41240
12205,P46020
12217,P48436
12222,P48544
12227,P48549
12230,P48729
12281,P50895
12284,P51398
12293,P51787
12299,P52888
12302,P53396
12308,P54296
12317,P55064
12357,P61224
12362,P61586
12366,P62195
12369,P62834
12376,P63252
12379,P78348
12390,Q00059
12399,Q00536
12412,Q00613
12415,Q01082
12423,Q01130
12432,Q01860
12468,Q05469
12484,Q07343
12487,Q07352
12496,Q07955
12499,Q08289
12512,Q08495
12518,Q09470
12526,Q12798
12529,Q12802
12548,Q13085
12551,Q13185
12558,Q13351
12563,Q13370
12585,Q13563
12588,Q13576
12600,Q13972
12604,Q14103
12612,Q14344
12622,Q14500
12643,Q14749
12646,Q14847
12649,Q14896
12663,Q15052
12666,Q15054
12674,Q15208
12679,Q15256
12689,Q15835
12694,Q16531
12699,Q16613
12729,Q16790
12735,Q16891
12740,Q5S007
12753,Q68EM7
12756,Q6J4K2
12763,Q7LDG7
12766,Q7Z2W7
12778,Q86V87
12786,Q8IW41
12789,Q8IWQ3
12792,Q8IWU9
12795,Q8IYT8
12800,Q8N5S9
12808,Q8TAE6
12811,Q8TCU6
12819,Q8WVI7
12834,Q92736
12840,Q92777
12848,Q92917
12863,Q93034
12881,Q96P20
12895,Q96SB3
12903,Q99259
12915,Q99996
12917,Q9BY41
12921,Q9GZU1
12926,Q9GZX7
12931,Q9H0K1
12936,Q9H2S1
12951,Q9H492
12957,Q9HC16
12960,Q9HCR9
12968,Q9NP71
12971,Q9NP97
12974,Q9NPC2
12982,Q9NRD9
12992,Q9NS28
12995,Q9NX63
13003,Q9NYF0
13008,Q9NZV8
13011,Q9P0L9
13018,Q9P289
13021,Q9UD71
13029,Q9UH99
13038,Q9UII2
13050,Q9ULJ8
13053,Q9UMX1
13063,Q9Y233
13066,Q9Y259
13077,Q9Y2K6
13082,Q9Y4C1
13085,Q9Y698
13088,Q9Y6D6
13091,Q9Y6E0
13097,Q9Y6R1
13103,P17948
13125,P05198
13136,P19525
13182,O14958
13186,O43896
13188,P01106
13190,P04198
13195,P07910
13197,P09497
13202,P11836
13206,P13349
13213,P17931
13229,P21673
13233,P24534
13236,P32121
13255,P52655
13260,P55957
13269,P84090
13274,Q01892
13283,Q13144
13288,Q13547
13296,Q16623
13298,Q712K3
13300,Q92598
13308,Q9NZU7
13313,Q9UNN4
13320,Q9Y5B0
13323,P20794
13328,O00303
13336,P21675
13350,Q15545
13357,P21802
13375,P22455
13390,P22607
13528,P15260
13536,P29597
13564,Q13651
13582,Q9Y5X2
13611,A1KXE4
13632,O14497
13637,O14686
13645,O15014
13675,O60271
13678,O60504
13682,O60934
13688,O75179
13709,O75533
13733,O75616
13741,O94776
13806,P06401
13833,P08621
13839,P10244
13866,P10644
13871,P12268
13896,P14859
13950,P20248
13956,P22674
13959,P23258
13965,P23511
13973,P24864
13988,P24941
14004,P28324
14023,P29374
14048,P30050
14065,P31943
14068,P32322
14095,P35269
14106,P38432
14109,P38919
14118,P42677
14135,P48634
14141,P49454
14186,P50750
14192,P51649
14195,P52948
14201,P54198
14216,P55795
14219,P57740
14229,P62324
14232,P62913
14235,P78317
14273,Q02363
14276,Q02535
14285,Q03252
14289,Q04323
14299,Q05516
14304,Q05519
14366,Q0VD86
14377,Q12800
14396,Q12948
14406,Q13242
14411,Q13309
14414,Q13330
14417,Q13352
14432,Q13416
14442,Q13573
14452,Q14191
14458,Q14195
14465,Q14207
14489,Q14839
14498,Q15003
14501,Q15047
14507,Q15554
14540,Q15813
14548,Q15942
14558,Q2NL82
14564,Q4VCS5
14569,Q53ET0
14572,Q53GL7
14575,Q53H80
14580,Q5JTV8
14583,Q5JTZ9
14586,Q5T5Y3
14593,Q6PKG0
14600,Q6UB35
14608,Q71UM5
14611,Q7KZ85
14619,Q7Z417
14622,Q86T82
14625,Q86U86
14630,Q86VM9
14638,Q86XL3
14641,Q86YP4
14644,Q8IWS0
14651,Q8IXM2
14656,Q8IXQ3
14660,Q8IYB3
14668,Q8N3F8
14675,Q8NBZ0
14678,Q8NFC6
14683,Q8TAP6
14686,Q8TAP8
14690,Q8WUM0
14695,Q8WWY3
14701,Q8WXE1
14707,Q8WYH8
14710,Q92547
14713,Q92620
14716,Q92698
14721,Q92785
14726,Q969V6
14736,Q96E09
14739,Q96EA4
14744,Q96II8
14750,Q96RK0
14757,Q99459
14760,Q99504
14765,Q99607
14770,Q99626
14790,Q99741
14800,Q9BUJ2
14803,Q9BVC5
14807,Q9BXR0
14810,Q9BY44
14813,Q9BZL4
14816,Q9C0C2
14821,Q9C0C9
14824,Q9C0D5
14830,Q9H211
14835,Q9H2G4
14845,Q9H3P2
14848,Q9H425
14851,Q9H6K1
14854,Q9H7L9
14859,Q9H8Y8
14862,Q9H910
14865,Q9H9C1
14868,Q9NP87
14871,Q9NPF5
14874,Q9NRH3
14880,Q9NSV4
14892,Q9NYB0
14898,Q9NYV6
14905,Q9P270
14908,Q9P2B4
14914,Q9P2N5
14920,Q9UFC0
14923,Q9UGP5
14932,Q9UIF9
14937,Q9UJU6
14943,Q9UKY1
14949,Q9ULX3
14952,Q9UM11
14963,Q9UPN3
14978,Q9Y253
14981,Q9Y266
14984,Q9Y2J2
14989,Q9Y2K7
14995,Q9Y314
15001,Q9Y676
15006,O76070
15012,P05387
15033,P08172
15076,P18545
15078,P21462
15119,P35372
15136,P51681
15145,Q14940
15164,Q96A54
15171,Q9Y2W7
15179,C9JLW8
15207,O60244
15233,O95817
15275,P04150
15325,P10242
15367,P12980
15370,P13631
15385,P14921
15434,P17861
15452,P20339
15490,P28562
15532,P35658
15549,P41182
15554,P41212
15585,P42702
15589,P43364
15605,P49715
15630,P49815
15637,P50616
15653,P53355
15656,P53805
15667,P56270
15683,P62070
15713,Q02447
15752,Q12772
15759,Q12931
15768,Q13164
15783,Q13485
15790,Q13614
15826,Q14934
15834,Q15046
15845,Q15596
15854,Q15672
15864,Q15788
15889,Q16254
15894,Q16559
15897,Q16584
15902,Q16690
15909,Q16828
15933,Q86UC2
15968,Q8N9N5
15973,Q8NET8
15986,Q92797
15989,Q92908
16020,Q96Q27
16030,Q9BR01
16033,Q9BUB5
16050,Q9NRA0
16058,Q9NYA1
16074,Q9UHB6
16081,Q9UIG0
16103,Q9UPT5
16139,Q99689
16183,O43623
16210,O94953
16221,O95600
16233,P00558
16305,P07196
16324,P09874
16355,P11308
16378,P12036
16485,P19878
16521,P26651
16553,P30041
16612,P37231
16641,P43354
16654,P46695
16668,P49137
16724,P50548
16747,P51170
16759,P52945
16823,Q02224
16869,Q07889
16924,Q13285
16975,Q13625
16989,Q14686
17028,Q15700
17110,Q5JQC9
17113,Q5T447
17122,Q7L5N1
17174,Q8NHW3
17203,Q96EP5
17213,Q96I25
17218,Q96LC9
17233,Q96RS0
17244,Q9BTL3
17250,Q9BY84
17297,Q9NZ72
17322,Q9Y463
17343,P29317
17374,P29320
17385,P29322
17398,P29323
17404,P52799
17411,O15304
17416,P17181
17482,P30530
17510,Q96JJ3
17513,P31152
17522,O14492
17554,O43464
17592,O75030
17605,O96028
17658,P09601
17662,P09651
17704,P15976
17726,P19484
17745,P21453
17771,P29375
17782,P29401
17807,P35226
17843,P41002
17848,P41279
17881,P49760
17903,P49918
17908,P51617
17916,P53365
17925,P53804
17939,P55072
17953,P55316
17993,P78362
17996,P78371
18014,P98177
18043,Q04912
18046,Q05195
18087,Q13009
18098,Q13107
18132,Q14315
18144,Q15027
18154,Q15633
18176,Q16763
18182,Q2PPJ7
18192,Q53EL6
18204,Q5XUX0
18223,Q7Z589
18226,Q7Z5H3
18229,Q7Z6J0
18232,Q86TI0
18235,Q86V81
18240,Q86VP3
18245,Q8IYJ3
18251,Q8N6T7
18256,Q8NCD3
18267,Q8WYL5
18276,Q92794
18297,Q96BF3
18303,Q96F86
18310,Q96HP0
18319,Q96QB1
18329,Q96S44
18343,Q99502
18352,Q9BPZ7
18355,Q9BRQ0
18358,Q9BRS8
18361,Q9BVI0
18366,Q9BWT1
18373,Q9BZQ8
18379,Q9H6Z4
18382,Q9H9Q4
18386,Q9NPC1
18388,Q9NR28
18391,Q9NWV8
18400,Q9UBP6
18404,Q9UGI0
18409,Q9UKV3
18420,Q9UPY5
18430,Q9Y283
18445,Q9Y3C5
18448,Q9Y3M2
18463,O43516
18485,P30405
18522,Q04656
18572,Q86YS7
18591,Q9GZV1
18617,P32298
18720,P38646
18734,Q53HL2
18751,Q96E14
18754,Q96PE2
18768,Q9Y6D9
18830,P34947
18843,P50502
18870,P30874
18881,P41146
18961,P36888
18986,O95551
18995,P17813
19003,Q03167
19023,Q96FW1
19108,P08575
19168,P46734
19201,Q99558
19236,P78545
19271,Q6STE5
19296,Q9NPB6
19302,P09493
19319,P42338
19338,O75385
19345,O95747
19353,O96018
19358,P00441
19424,P51397
19428,P55199
19473,Q5T4S7
19476,Q641Q2
19486,Q86TB9
19503,Q8NHG8
19506,Q8TB45
19542,Q9C0C7
19545,Q9H063
19552,Q9H1K1
19566,Q9H5H4
19571,Q9H8M2
19579,Q9NQG5
19587,Q9P2Y5
19610,Q9Y6W6
19627,P42680
19647,Q99952
19677,O14818
19691,P04040
19760,P43250
19767,P61073
19774,Q15722
19781,O43561
19824,P51452
19869,O14986
19872,O43914
20001,P68366
20022,Q13261
20025,Q13422
20053,Q8WV28
20178,P17275
20185,P17535
20205,P31946
20209,P31947
20243,P41970
20245,P42226
20257,P54259
20273,P85298
20315,Q12904
20321,Q13363
20329,Q14451
20353,Q16621
20365,Q7KZF4
20378,Q8WYK2
20380,Q8WYQ5
20397,Q96FI4
20426,Q9H2B2
20431,Q9NPI6
20439,Q9NRA8
20459,Q9UPT6
20463,Q9UQF2
20495,O60239
20498,O95140
20600,Q12968
20624,Q9BQQ3
20666,P53778
20676,Q15759
20716,O60260
20721,O60341
20724,O60346
20739,O94916
20783,P12830
20852,P42892
20875,P62745
20929,Q13148
20995,Q6IE81
21016,Q9BXL7
21019,Q9H6E5
21022,Q9NRF8
21052,O15055
21164,P07951
21176,Q01105
21184,O15511
21191,O95453
21194,O95816
21254,P18615
21281,P33241
21343,Q13151
21349,Q13546
21352,Q14134
21366,Q6JBY9
21371,Q8N5C8
21374,Q92904
21395,Q9UPN4
21409,P51946
21479,P49674
21499,P56645
21567,O60829
21599,O15084
21633,P22415
21724,Q96F46
21753,E9PAV3
21759,O00327
21772,O15033
21775,O15169
21786,O15516
21839,O75952
21846,O95271
21974,P12524
22025,P16401
22061,P20393
22072,P22670
22103,P30279
22106,P30281
22184,P49716
22217,P54252
22230,P57059
22232,P58012
22270,Q04721
22279,Q07812
22322,Q13887
22346,Q14494
22373,Q15853
22423,Q6U7Q0
22429,Q8IZQ8
22477,Q96G01
22528,Q9H0B6
22531,Q9H0Z9
22534,Q9HB09
22537,Q9NP62
22540,Q9NRD5
22545,Q9NRR4
22564,Q9P0L2
22566,Q9UKA4
22573,Q9UKT5
22594,Q9Y2X9
22601,Q9Y6H5
22724,Q00534
22749,Q9BYE7
22753,Q9H0D6
22756,Q9NYV4
22759,Q9UPZ9
22871,Q96PM5
22918,Q96FA3
22939,Q9HAT8
23007,P32314
23046,P62753
23082,Q16821
23109,Q9BSI4
23122,Q9UL17
23168,Q16611
23171,Q96T51
23178,O43541
23200,P36873
23207,P51955
23233,Q8N137
23242,Q92997
23256,Q9BV73
23266,O95721
23269,P51956
23278,P23458
23298,P52333
23348,Q14765
23361,Q9NQU5
23367,Q9ULV5
23375,O00139
23420,O60563
23438,O75170
23445,O95235
23456,O95425
23459,O95613
23506,P13693
23589,P30622
23596,P30626
23639,P42898
23651,P49959
23692,Q00839
23698,Q01538
23758,Q15022
23769,Q15435
23788,Q2M2Z5
23797,Q3KR16
23809,Q6IBW4
23817,Q71F23
23824,Q7L2Z9
23849,Q8N4N8
23867,Q8TCG1
23880,Q92994
23883,Q96BK5
23905,Q99640
23928,Q9BVS4
23984,Q9NS56
23990,Q9NYZ3
23995,Q9UBB4
24015,Q9UJX3
24028,Q9Y265
24051,Q9Y2T1
24054,Q9Y2Z0
24139,Q96RR4
24150,P60981
24153,Q9Y281
24213,Q13424
24272,O00763
24340,Q92819
24345,Q9BXM7
24365,Q9UQB8
24373,P54753
24379,O75056
24388,P54762
24395,P54764
24432,O15266
24435,O15379
24458,O60936
24463,O75379
24504,P00736
24576,P06744
24616,P09629
24677,P12259
24737,P17936
24747,P18146
24786,P20042
24814,P25788
24832,P27540
24835,P27695
24864,P30519
24903,P35638
25026,P52952
25030,P53999
25044,P55010
25083,P61244
25118,Q01534
25131,Q02790
25158,Q08945
25288,Q16666
25364,Q96HZ4
25440,Q9UHC3
25508,Q99538
25525,Q9Y5P4
25528,O43918
25572,P07954
25601,P13010
25659,P16104
25682,P23025
25697,P31270
25737,P42575
25745,P49917
25758,P55895
25761,P78527
25791,Q13426
25816,Q8TCS8
25819,Q96SD1
25841,Q9BQ15
25844,Q9H4A6
25864,Q9NUW8
25874,P80192
25907,Q00526
25921,Q5TKA1
25924,Q8TDN4
26029,O14827
26045,O43602
26093,P04156
26153,P14416
26174,P21860
26221,P47989
26260,Q02078
26287,Q13136
26297,Q13794
26311,Q15078
26321,Q15833
26338,Q16643
26355,Q8IWU2
26375,Q96KR7
26386,Q99719
26408,Q9UKV5
26423,Q9Y210
26428,Q9Y490
26506,P48751
26631,Q9NVD7
26637,Q02763
26660,Q92630
26695,P32942
26745,Q9UEW8
26779,O75962
26786,P12814
26848,Q9H9S0
26925,P49757
27065,P08913
27153,P40189
27250,Q15438
27262,Q16820
27349,P58753
27379,Q9UJV9
27410,P62805
27426,Q08345
27467,Q8TDQ0
27488,P02810
27515,Q12866
27538,O60814
27550,P06899
27557,P17301
27569,P23527
27574,P57053
27576,P58876
27578,P62807
27616,Q16778
27618,Q5QNW6
27620,Q6DRA6
27622,Q7L9L4
27629,Q8N257
27631,Q93079
27636,Q99877
27638,Q99880
27703,O95278
27738,P11908
27814,P60891
27832,Q07866
27870,Q13362
27900,Q14694
27905,Q15036
27922,Q6TCH7
27928,Q7Z628
27950,Q92538
27955,Q9BU19
27970,Q9H3M7
27973,Q9NR19
27989,Q9P2M7
27996,Q9UQK1
28008,Q9Y478
28053,P18669
28068,P29466
28076,P36871
28235,Q13163
28281,P01236
28328,P55210
28391,Q70Z35
28394,Q8IYU2
28456,Q9H4B6
28465,Q9H8S9
28474,O14733
28481,P46531
28515,P32929
28523,Q03393
28551,O15355
28554,O43504
28578,O75150
28585,O75943
28607,O95071
28681,P15374
28725,P27707
28760,P40692
28768,P46379
28792,P50542
28795,P51532
28853,Q03111
28876,Q13098
28914,Q14161
28940,Q14683
28955,Q15109
29003,Q5VTR2
29013,Q6PCD5
29018,Q6UWZ7
29023,Q70CQ2
29028,Q7L7X3
29035,Q7LG56
29038,Q7Z6Z7
29056,Q8IUQ4
29059,Q8IW19
29065,Q8IY92
29076,Q8N680
29081,Q8NHY2
29084,Q8TAQ2
29087,Q8TAQ5
29090,Q8WVD3
29119,Q92878
29133,Q969R5
29139,Q96KQ7
29145,Q96RU2
29154,Q96S59
29182,Q96T60
29209,Q9BUR4
29246,Q9NQS1
29254,Q9NS23
29267,Q9NVI1
29281,Q9NZM5
29293,Q9UER7
29301,Q9UPV0
29303,Q9UQE7
29306,Q9UQR1
29314,Q9Y4E8
29317,Q9Y4P3
29343,Q13765
29383,O60237
29426,P19105
29481,P61587
29499,Q14160
29511,Q8N264
29791,Q5VWQ8
29823,P35270
29835,Q13554
29847,O60266
29885,Q13555
29912,Q13557
29926,Q14654
30011,Q13627
30019,Q52LA3
30024,Q96S94
30070,Q13882
30080,Q96P48
30145,P35520
30150,P41220
30175,P52943
30224,Q15637
30227,Q5VSY0
30230,Q684P5
30233,Q76M96
30254,Q9UH03
30265,Q9Y6F6
30274,O43432
30293,Q14012
30314,O14519
30335,P10914
30384,Q92985
30471,Q14680
30545,P29803
30558,P15036
30565,O00206
30574,O15273
30581,O60602
30584,O75628
30617,P22059
30642,P48426
30650,P53367
30684,Q15276
30743,Q9ULH0
30752,Q9Y3E5
30785,Q96QF0
30788,Q15303
30866,Q92570
30884,O14727
30973,P49427
31033,Q2M1Z3
31064,Q92731
31066,Q92882
31110,Q15569
31118,P10916
31131,O60381
31257,Q7RTN6
31266,Q8TDC3
31273,Q96L34
31276,Q9H093
31282,Q9NRH2
31292,Q9Y2K2
31302,P41145
31321,O15553
31398,P51114
31409,P63167
31430,Q13233
31444,Q15365
31477,Q99426
31483,Q9UKV0
31494,Q9Y6X9
31511,O43257
31720,P42574
31854,Q15075
31927,Q9H1K0
31955,Q9UBK2
31980,P14866
32002,Q16566
32011,Q99623
32053,O43559
32067,Q16620
32130,Q16816
32137,Q96CW1
32141,Q9BXS5
32160,Q96SN8
32171,O75061
32208,P62280
32215,P62841
32342,Q13885
32353,Q5VT25
32368,Q7L0J3
32405,Q6P5Z2
32410,Q6PHR2
32427,P46939
32444,Q7L804
32470,Q9H4P4
32473,Q9NQT8
32496,Q86SG6
32498,Q9NVP2
32501,Q9Y294
32524,O75531
32539,Q9UHP3
32549,P51608
32579,O60229
32590,P25685
32600,Q15382
32603,Q92599
32626,P11216
32635,Q8IY84
32662,P01375
32687,Q8IU85
32695,Q8NEV4
32732,Q9BSJ6
32748,Q8TD08
32770,Q8TD19
32792,Q8TDX7
32798,Q9HC98
32824,Q15058
32840,Q71DI3
32859,O75449
32883,P43686
32962,Q13045
32972,O00566
32999,O15523
33007,O76021
33099,P35659
33105,P45973
33113,P46778
33116,P46783
33136,P62917
33159,P98179
33172,Q08J23
33229,Q53SF7
33236,Q5T5U3
33242,Q69YH5
33248,Q6DN03
33257,Q6NZI2
33263,Q8IVT2
33269,Q8NEM2
33272,Q8NEY8
33275,Q8NG31
33280,Q8TE77
33303,Q8WYJ6
33320,Q96CF2
33327,Q96E39
33382,Q99879
33389,Q9BW61
33413,Q9H410
33418,Q9H6F5
33421,Q9H788
33426,Q9NP77
33451,Q9NQZ2
33456,Q9NYP9
33459,Q9P227
33484,Q9Y2R4
33490,Q9Y5B9
33493,O43768
33543,P21796
33569,Q92900
33594,P28289
33606,Q96QT4
33708,Q96RG2
33770,Q96SB4
33779,Q9BWF3
33782,Q9Y5S9
33865,Q969S3
33885,Q9Y3F4
33950,Q99986
33987,Q9NP80
34014,Q9BX84
34022,O95202
34036,Q6NUN9
34041,Q8IXI2
34056,Q9UHW9
34101,Q99828
34138,Q6UUV9
34169,O00257
34173,O15297
34204,P26367
34234,P56545
34237,P57682
34256,Q01196
34297,Q9P1Z0
34318,O94913
34346,O43852
34411,P62258
34522,Q96AP0
34566,Q9BY11
34569,Q9P286
34590,P61981
34669,Q9NWZ3
34700,Q9NYL2
34798,Q155Q3
34886,P56192
34914,Q9UBE8
34917,Q9UJU2
35036,P56962
35131,Q9BRV8
35161,Q9UIK4
35175,Q9NQB0
35178,Q9UKE5
35189,Q96PY6
35217,P31939
35244,Q9UM73
35265,O95238
35275,O75410
35294,O00631
35299,O14713
35386,P16615
35402,P24588
35446,P41134
35462,P51790
35468,P55055
35483,Q04760
35557,Q4G163
35568,Q96NW7
35581,Q96PV0
35606,Q9UQM7
35613,Q9Y496
35616,Q9Y4D2
35626,O15119
35667,Q9Y2H1
35697,P20823
35733,P09622
35738,Q8NB16
35747,Q9Y572
35785,Q9Y6R4
