name,kinase
AAK1,AAK1
ABL1,ABL1
ABL2,ABL2
ACVR2A,ACVR2A
ACVR2B,ACVR2B
AKT1,AKT1
AKT2,AKT2
AKT3,AKT3
ALK,ALK
ALK2,ALK2
ALK4,ALK4
ALPHAK3,ALPHAK3
AMPKA1,AMPKA1
AMPKA2,AMPKA2
ANKRD3,ANKRD3
ASK1,ASK1
ATM,ATM
ATR,ATR
AURA,AURA
AURB,AURB
AURC,AURC
AXL,AXL
BCKDK,BCKDK
BIKE,BIKE
BLK,BLK
BMPR1A,BMPR1A
BMPR1B,BMPR1B
BMPR2,"BMPR2,BMPR2_TYR"
BMX,BMX
BRAF,BRAF
BRSK1,BRSK1
BRSK2,BRSK2
BTK,BTK
BUB1,BUB1
CAMK1A,CAMK1A
CAMK1B,CAMK1B
CAMK1D,CAMK1D
CAMK1G,CAMK1G
CAMK2A,CAMK2A
CAMK2B,CAMK2B
CAMK2D,CAMK2D
CAMK2G,CAMK2G
CAMK4,CAMK4
CAMKK1,CAMKK1
CAMKK2,CAMKK2
CAMLCK,CAMLCK
CDC7,CDC7
CDK1,CDK1
CDK10,CDK10
CDK12,CDK12
CDK13,CDK13
CDK14,CDK14
CDK16,CDK16
CDK17,CDK17
CDK18,CDK18
CDK19,CDK19
CDK2,CDK2
CDK3,CDK3
CDK4,CDK4
CDK5,CDK5
CDK6,CDK6
CDK7,CDK7
CDK8,CDK8
CDK9,CDK9
CDKL1,CDKL1
CDKL5,CDKL5
CHAK1,CHAK1
CHAK2,CHAK2
CHK1,CHK1
CHK2,CHK2
CK1A,CK1A
CK1A2,CK1A2
CK1D,CK1D
CK1E,CK1E
CK1G1,CK1G1
CK1G2,CK1G2
CK1G3,CK1G3
CK2A1,CK2A1
CK2A2,CK2A2
CLK1,CLK1
CLK2,CLK2
CLK3,CLK3
CLK4,CLK4
COT,COT
CRIK,CRIK
CSF1R,CSF1R
CSK,CSK
DAPK1,DAPK1
DAPK2,DAPK2
DAPK3,DAPK3
DCAMKL1,DCAMKL1
DCAMKL2,DCAMKL2
DDR1,DDR1
DDR2,DDR2
DLK,DLK
DMPK1,DMPK1
DNAPK,DNAPK
DRAK1,DRAK1
DSTYK,DSTYK
DYRK1A,DYRK1A
DYRK1B,DYRK1B
DYRK2,DYRK2
DYRK3,DYRK3
DYRK4,DYRK4
EEF2K,EEF2K
EGFR,EGFR
EPHA1,EPHA1
EPHA2,EPHA2
EPHA3,EPHA3
EPHA4,EPHA4
EPHA5,EPHA5
EPHA6,EPHA6
EPHA7,EPHA7
EPHA8,EPHA8
EPHB1,EPHB1
EPHB2,EPHB2
EPHB3,EPHB3
EPHB4,EPHB4
ERBB2,ERBB2
ERBB4,ERBB4
ERK1,ERK1
ERK2,ERK2
ERK5,ERK5
ERK7,ERK7
FAM20C,FAM20C
FER,FER
FES,FES
FGFR1,FGFR1
FGFR2,FGFR2
FGFR3,FGFR3
FGFR4,FGFR4
FGR,FGR
FLT1,FLT1
FLT3,FLT3
FLT4,FLT4
FRK,FRK
FYN,FYN
GAK,GAK
GCK,GCK
GCN2,GCN2
GRK1,GRK1
GRK2,GRK2
GRK3,GRK3
GRK4,GRK4
GRK5,GRK5
GRK6,GRK6
GRK7,GRK7
GSK3A,GSK3A
GSK3B,GSK3B
HASPIN,HASPIN
HCK,HCK
HGK,HGK
HIPK1,HIPK1
HIPK2,HIPK2
HIPK3,HIPK3
HIPK4,HIPK4
HPK1,HPK1
HRI,HRI
HUNK,HUNK
ICK,ICK
IGF1R,IGF1R
IKKA,IKKA
IKKB,IKKB
IKKE,IKKE
INSR,INSR
INSRR,INSRR
IRAK1,IRAK1
IRAK4,IRAK4
IRE1,IRE1
IRE2,IRE2
ITK,ITK
JAK1,JAK1
JAK2,JAK2
JAK3,JAK3
JNK1,JNK1
JNK2,JNK2
JNK3,JNK3
KDR,KDR
KHS1,KHS1
KHS2,KHS2
KIS,KIS
KIT,KIT
LATS1,LATS1
LATS2,LATS2
LCK,LCK
LIMK1,LIMK1_TYR
LIMK2,LIMK2_TYR
LKB1,LKB1
LOK,LOK
LRRK2,LRRK2
LTK,LTK
LYN,LYN
MAK,MAK
MAP2K4,MAP2K4_TYR
MAP2K6,MAP2K6_TYR
MAP2K7,MAP2K7_TYR
MAP3K15,MAP3K15
MAPKAPK2,MAPKAPK2
MAPKAPK3,MAPKAPK3
MAPKAPK5,MAPKAPK5
MARK1,MARK1
MARK2,MARK2
MARK3,MARK3
MARK4,MARK4
MASTL,MASTL
MATK,MATK
MEK1,MEK1
MEK2,MEK2
MEK5,MEK5
MEKK1,MEKK1
MEKK2,MEKK2
MEKK3,MEKK3
MEKK6,MEKK6
MELK,MELK
MERTK,MERTK
MET,MET
MINK,MINK
MLK1,MLK1
MLK2,MLK2
MLK3,MLK3
MLK4,MLK4
MNK1,MNK1
MNK2,MNK2
MOK,MOK
MOS,MOS
MPSK1,MPSK1
MRCKA,MRCKA
MRCKB,MRCKB
MSK1,MSK1
MSK2,MSK2
MST1,MST1
MST1R,MST1R
MST2,MST2
MST3,MST3
MST4,MST4
MTOR,MTOR
MUSK,MUSK
MYLK4,MYLK4
MYO3A,MYO3A
MYO3B,MYO3B
NDR1,NDR1
NDR2,NDR2
NEK1,NEK1
NEK10,NEK10_TYR
NEK11,NEK11
NEK2,NEK2
NEK3,NEK3
NEK4,NEK4
NEK5,NEK5
NEK6,NEK6
NEK7,NEK7
NEK8,NEK8
NEK9,NEK9
NIK,NIK
NIM1,NIM1
NLK,NLK
NTRK1,NTRK1
NTRK2,NTRK2
NTRK3,NTRK3
NUAK1,NUAK1
NUAK2,NUAK2
OSR1,OSR1
P38A,P38A
P38B,P38B
P38D,P38D
P38G,P38G
P70S6K,P70S6K
P70S6KB,P70S6KB
P90RSK,P90RSK
PAK1,PAK1
PAK2,PAK2
PAK3,PAK3
PAK4,PAK4
PAK5,PAK5
PAK6,PAK6
PASK,PASK
PBK,PBK
PDGFRA,PDGFRA
PDGFRB,PDGFRB
PDHK1,"PDHK1,PDHK1_TYR"
PDHK3,PDHK3_TYR
PDHK4,"PDHK4,PDHK4_TYR"
PDK1,PDK1
PERK,PERK
PHKG1,PHKG1
PHKG2,PHKG2
PIM1,PIM1
PIM2,PIM2
PIM3,PIM3
PINK1,"PINK1,PINK1_TYR"
PKACA,PKACA
PKACB,PKACB
PKACG,PKACG
PKCA,PKCA
PKCB,PKCB
PKCD,PKCD
PKCE,PKCE
PKCG,PKCG
PKCH,PKCH
PKCI,PKCI
PKCT,PKCT
PKCZ,PKCZ
PKG1,PKG1
PKG2,PKG2
PKMYT1,PKMYT1_TYR
PKN1,PKN1
PKN2,PKN2
PKN3,PKN3
PKR,PKR
PLK1,PLK1
PLK2,PLK2
PLK3,PLK3
PLK4,PLK4
PRKD1,PRKD1
PRKD2,PRKD2
PRKD3,PRKD3
PRKX,PRKX
PRP4,PRP4
PRPK,PRPK
PTK2,PTK2
PTK2B,PTK2B
PTK6,PTK6
QIK,QIK
QSK,QSK
RAF1,RAF1
RET,RET
RIPK1,RIPK1
RIPK2,RIPK2
RIPK3,RIPK3
ROCK1,ROCK1
ROCK2,ROCK2
ROS1,ROS1
RSK2,RSK2
RSK3,RSK3
RSK4,RSK4
SBK,SBK
SGK1,SGK1
SGK3,SGK3
SIK,SIK
SKMLCK,SKMLCK
SLK,SLK
SMG1,SMG1
SMMLCK,SMMLCK
SNRK,SNRK
SRC,SRC
SRMS,SRMS
SRPK1,SRPK1
SRPK2,SRPK2
SRPK3,SRPK3
SSTK,SSTK
STK33,STK33
STLK3,STLK3
SYK,SYK
TAK1,TAK1
TAO1,TAO1
TAO2,TAO2
TAO3,TAO3
TBK1,TBK1
TEC,TEC
TEK,TEK
TESK1,TESK1_TYR
TGFBR1,TGFBR1
TGFBR2,TGFBR2
TLK1,TLK1
TLK2,TLK2
TNIK,TNIK
TNK1,TNK1
TNK2,TNK2
TNNI3K,TNNI3K_TYR
TSSK1,TSSK1
TSSK2,TSSK2
TTBK1,TTBK1
TTBK2,TTBK2
TTK,TTK
TXK,TXK
TYK2,TYK2
TYRO3,TYRO3
ULK1,ULK1
ULK2,ULK2
VRK1,VRK1
VRK2,VRK2
WEE1,WEE1_TYR
WNK1,WNK1
WNK3,WNK3
WNK4,WNK4
YANK2,YANK2
YANK3,YANK3
YES1,YES1
YSK1,YSK1
YSK4,YSK4
ZAK,ZAK
ZAP70,ZAP70
